Instance 6		m=3	n=20																	
																				
Setup time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1		23	33	49	10	45	26	44	12	9	4	45	25	23	35	10	40	47	23	30
2	49		12	22	49	4	2	21	1	38	45	43	47	30	1	16	34	29	29	40
3	16	14		21	21	16	6	36	48	8	7	43	21	31	27	11	13	49	37	17
4	18	9	5		17	36	42	22	6	33	23	29	29	37	45	5	28	2	17	14
5	28	38	40	47		24	5	8	39	27	25	27	39	21	43	37	48	25	7	50
6	38	19	5	12	30		28	10	39	15	12	43	49	37	42	12	46	6	47	17
7	46	4	32	34	41	45		16	21	2	35	2	11	42	21	42	20	15	46	30
8	9	38	18	45	44	43	27		47	47	28	8	35	32	50	43	30	30	4	1
9	45	15	42	6	21	26	6	22		8	7	45	44	37	48	22	41	3	25	5
10	33	3	20	29	30	48	3	13	10		27	48	1	15	17	38	23	40	50	40
11	13	30	6	30	27	44	42	7	8	14		39	22	13	25	18	47	41	10	20
12	35	22	1	3	36	29	47	49	40	19	26		19	49	6	6	49	24	22	50
13	26	37	16	43	39	25	31	18	42	31	22	25		34	21	3	5	26	41	37
14	17	14	2	15	35	39	24	7	20	22	45	6	10		29	8	14	29	46	26
15	1	34	20	33	37	39	27	42	24	2	49	20	12	36		45	7	37	42	7
16	10	35	28	17	34	50	42	3	17	4	40	18	43	11	33		7	25	36	22
17	17	18	30	11	4	32	16	5	14	38	21	26	20	35	42	36		9	11	33
18	32	40	50	42	50	20	26	47	23	36	25	24	5	48	11	27	32		43	18
19	7	38	35	43	33	40	20	28	9	27	31	13	10	3	45	43	25	22		8
20	41	22	36	38	30	24	48	37	36	25	23	19	33	50	46	5	33	28	37	
																				
Processing Time	98	134	141	100	148	73	102	107	56	93	138	120	115	71	134	95	104	108	120	150
																				
No machine availability constraints
